Designator,Mid X,Mid Y,Rotation,Layer
2596-ADJ1,82.05,-83.225,90.0,top
A1,104.671,-82.75,0.0,top
C1,95.6,-83.9,0.0,top
C2,95.7875,-96.65,0.0,top
C3,98.08238,-121.6,180.0,top
D1,76.95,-128.45,0.0,top
D10,192.2,-78.31875,0.0,top
D2,95.8875,-106.75,180.0,top
D3,199.3875,-115.25,0.0,top
D4,199.6,-76.5,0.0,top
D5,199.875,-131.475,0.0,top
D6,200.05,-98.425,0.0,top
D7,168.475,-77.95,0.0,top
D8,176.4,-78.05,0.0,top
D9,184.475,-78.125,0.0,top
J1,74.48,-144.0,0.0,top
J10,84.026,-117.212936,0.0,top
J11,237.55,-119.56,90.0,top
J12,181.0,-113.62,180.0,top
J13,237.8,-83.96,90.0,top
J14,166.575,-113.605,180.0,top
J15,237.5,-137.3,90.0,top
J16,237.7425,-101.7975,90.0,top
J17,187.9,-113.72,180.0,top
J18,173.6,-113.52,180.0,top
J19,237.71,-63.15,180.0,top
J2,129.5225,-144.1075,0.0,top
J3,108.33,-63.15,180.0,top
J4,137.73,-63.15,180.0,top
J5,88.495,-144.0,0.0,top
J6,164.1,-144.075,0.0,top
J7,163.2375,-63.1575,180.0,top
J8,204.25,-63.05,180.0,top
J9,191.475,-144.05,0.0,top
K1,206.8725,-113.05,90.0,top
K2,206.8,-78.75,90.0,top
K3,206.95,-130.3,90.0,top
K4,206.8,-95.8,90.0,top
L1,82.05,-102.95,0.0,top
R1,82.45,-128.25,180.0,top
R10,175.2,-100.75,180.0,top
R11,176.45,-82.9,180.0,top
R12,185.3,-100.85,180.0,top
R13,184.525,-82.625,180.0,top
R14,192.4,-100.85,180.0,top
R15,192.125,-82.81875,180.0,top
R2,93.5875,-100.65,180.0,top
R3,98.15,-100.6,0.0,top
R4,199.325,-111.1,180.0,top
R5,199.75,-80.55,180.0,top
R6,199.9,-127.3,180.0,top
R7,200.175,-93.8,180.0,top
R8,169.05,-100.7,180.0,top
R9,168.52,-82.93,0.0,top
U1,180.85,-124.47,0.0,top
U2,170.125,-87.55,270.0,top
U3,177.8,-87.55,270.0,top
U4,185.875,-87.525,270.0,top
U5,193.525,-87.45,270.0,top
